Dates,HON,AMZN,GOOG,CVX,COP,FB,MRO,MRK,C,PYPL,CRM,AXP,QCOM,V,GILD,EXC,F,APTV,STZ,EL,SPWR,CO,WMT,HD,NEE,CSX,MCD,SPG,FSLR,NSC,SPX Index,RF,party
9/26/1980,,,,-0.016399056,-0.032074806,,-0.0346944,-0.0015413,,,,-0.016501344,,,,0,-0.017572535,,,,,,-0.010188575,,-0.004676338,-0.0517387,-0.020982725,,,-0.046133776,-0.018583669,0.036,1
9/29/1980,,,,-0.016661719,-0.016440333,,-0.011831442,-0.032783591,,,,-0.065179299,,,,0,-0.031450728,,,,,,-0.009776255,,-0.014192147,-0.025338578,0,,,-0.0029566,-0.022490844,0.036,1
9/30/1980,,,,0.018321172,0.008245326,,0.040829319,0.012622855,,,,0.024515008,,,,0,0.009080012,,,,,,0.009776255,,0,0.031618878,0.005076153,,,0.04059702,0.015421992,0.036,1
10/1/1980,,,,0.051458032,0.045525242,,-0.011491331,-0.001575142,,,,-0.003471774,,,,0,-0.022882639,,,,,,0.048960827,,-0.004765623,0.003036259,0,,,0.016895069,0.013223202,0.041,1
10/2/1980,,,,0.015547397,0.03093348,,0.005762172,0.001575142,,,,0.006931536,,,,0.018868484,-0.009291162,,,,,,0.027886422,,0,0.024485986,-0.012739026,,,0,0.007522957,0.041,1
10/3/1980,,,,0.04230238,0.025061279,,0.011425682,-0.003152768,,,,0.017079067,,,,0,0.0321738,,,,,,0.004730378,,0.014244367,0.006072191,0.012739026,,,0.005575514,0.009634136,0.041,1
10/6/1980,,,,0.026283495,0.038838794,,0.01129661,0.009381245,,,,0.02675871,,,,0,0.039943251,,,,,,-0.002362392,,0.050592672,0.014850696,-0.002534856,,,-0.008374972,0.018387096,0.041,1
10/7/1980,,,,0.002873089,-0.011974927,,-0.01129661,-0.006228476,,,,-0.003311124,,,,0.018519048,-0.026450781,,,,,,-0.013813032,,-0.02727422,0.002977839,-0.012771566,,,-0.014095611,-0.00555705,0.041,1
10/8/1980,,,,0,0.021449711,,-0.011425682,0.004663122,,,,0.009900663,,,,-0.009216655,0.013312844,,,,,,0.011445046,,0,-0.002977839,0.005128216,,,-0.008566111,0.004949563,0.041,1
10/9/1980,,,,-0.033606708,-0.007093919,,0.005729159,-0.010978631,,,,-0.003289341,,,,0,-0.013312844,,,,,,0,,0,0.026320628,-0.011144565,,,-0.014421029,-0.004644266,0.041,1
10/10/1980,,,,0.01475425,0.011805249,,0.005696523,-0.012703337,,,,-0.02666936,,,,-0.009302393,-0.004443554,,,,,,0.009438484,,-0.004626319,-0.002909033,-0.018269321,,,0,-0.005739885,0.041,1
